iter	Passed	Remaining
680	31824	14907
681	31869	14860
682	31913	14812
683	31963	14766
684	32019	14724
685	32063	14676
686	32109	14629
687	32156	14582
688	32205	14536
689	32252	14490
690	32298	14443
691	32344	14396
692	32388	14348
693	32435	14301
694	32482	14255
695	32528	14207
696	32573	14160
697	32616	14112
698	32665	14066
699	32714	14020
700	32760	13973
701	32803	13925
702	32850	13878
703	32898	13832
704	32944	13785
705	32988	13737
706	33033	13689
707	33077	13642
708	33125	13595
709	33174	13549
710	33222	13503
711	33273	13459
712	33326	13414
713	33379	13370
714	33427	13324
715	33473	13277
716	33519	13229
717	33568	13184
718	33617	13138
719	33661	13090
720	33707	13043
721	33752	12996
722	33800	12949
723	33846	12902
724	33892	12855
725	33939	12809
726	33983	12761
727	34031	12715
728	34076	12667
729	34120	12619
730	34164	12572
731	34209	12524
732	34259	12479
733	34305	12432
734	34351	12385
735	34395	12337
736	34440	12290
737	34488	12243
738	34534	12196
739	34577	12149
740	34622	12101
741	34668	12054
742	34717	12008
743	34764	11962
744	34808	11914
745	34854	11867
746	34898	11819
747	34945	11773
748	34992	11726
749	35036	11678
750	35082	11631
751	35128	11584
752	35176	11538
753	35223	11492
754	35268	11444
755	35311	11396
756	35356	11349
757	35404	11303
758	35451	11256
759	35494	11208
760	35539	11161
761	35583	11113
762	35630	11067
763	35677	11020
764	35722	10973
765	35767	10926
766	35812	10879
767	35859	10832
768	35906	10786
769	35952	10739
770	35996	10691
771	36040	10644
772	36089	10597
773	36134	10550
774	36178	10503
775	36222	10456
776	36266	10408
777	36313	10362
778	36359	10315
779	36404	10267
780	36450	10220
781	36495	10173
782	36546	10128
783	36592	10081
784	36638	10034
785	36682	9987
786	36727	9940
787	36775	9893
788	36821	9847
789	36868	9800
790	36912	9753
791	36957	9705
792	37004	9659
793	37049	9612
794	37093	9565
795	37139	9518
796	37183	9470
797	37231	9424
798	37279	9378
799	37323	9330
800	37367	9283
801	37411	9236
802	37459	9190
803	37505	9143
804	37549	9095
805	37595	9048
806	37641	9002
807	37694	8957
808	37741	8910
809	37785	8863
810	37830	8816
811	37874	8769
812	37921	8722
813	37968	8675
814	38013	8628
815	38057	8581
816	38102	8534
817	38150	8488
